t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
1145	1	46.000004	46.000004	45.000004	46.000004	40.58191	44.808002	2688000	2457000	1816000	1198000	999000	7599096
1150	1	45.000004	44.000004	45.000004	45.000004	40.52195	43.785004	2841000	2592000	2008000	1345000	999000	7585236
1155	1	45.000004	43.000004	44.000004	45.000004	40.51848	43.143	2937000	2707000	2303000	1561000	999000	7589320
1161	1	44.000004	44.000004	44.000004	45.000004	40.52449	42.795002	2937000	2707000	2303000	1561000	999000	7585780
1166	1	44.000004	43.000004	44.000004	44.000004	40.466194	42.435	3052000	2707000	2396000	1853000	999000	7583620
1171	1	44.000004	43.000004	43.000004	44.000004	40.406765	42.096	3052000	2937000	2770000	1853000	999000	7576448
1177	1	44.000004	43.000004	43.000004	44.000004	40.278374	41.826	3052000	3168000	3277000	1853000	999000	7604016
1182	1	44.000004	42.000004	43.000004	44.000004	40.021206	41.656002	3052000	3168000	3277000	1853000	999000	7593160
1187	1	44.000004	42.000004	43.000004	44.000004	39.846703	41.545002	3052000	3168000	3424000	1853000	999000	7562556
1193	1	43.000004	42.000004	43.000004	44.000004	39.734726	41.445004	3052000	3398000	3798000	1853000	999000	7551480
1198	1	43.000004	42.000004	43.000004	43.000004	39.55306	41.308002	3052000	3398000	3798000	1853000	999000	7556860
1203	1	43.000004	43.000004	43.000004	44.000004	39.416428	41.18	3052000	3398000	3798000	1853000	999000	7563760
1209	1	43.000004	42.000004	43.000004	43.000004	39.35897	41.082	3052000	3782000	5471000	1853000	999000	7526172
1214	1	43.000004	42.000004	42.000004	43.000004	39.293503	40.953003	3052000	3782000	5471000	1853000	999000	7525716
1219	1	43.000004	42.000004	42.000004	43.000004	39.23866	40.838	3052000	3782000	5471000	1853000	999000	7498408
1224	1	43.000004	41.000004	42.000004	43.000004	39.20015	40.748	3052000	3782000	5471000	1853000	999000	7497556
1230	1	43.000004	41.000004	42.000004	43.000004	39.130295	40.623	3052000	3782000	5471000	1853000	999000	7494744
1235	1	43.000004	41.000004	42.000004	43.000004	39.063232	40.532	3052000	3782000	5471000	1853000	999000	7475928
1240	1	42.000004	41.000004	42.000004	43.000004	38.99108	40.449	3052000	3782000	5471000	1853000	999000	7460088
1246	1	43.000004	42.000004	42.000004	43.000004	38.974846	40.386	3052000	3782000	5471000	1853000	999000	7575040
1251	1	43.000004	41.000004	42.000004	43.000004	38.952568	40.258003	3052000	3782000	5471000	1853000	999000	7571432
1256	1	43.000004	41.000004	42.000004	43.000004	38.869682	40.182003	3052000	3782000	5471000	1853000	999000	7522236
1262	1	42.000004	41.000004	42.000004	43.000004	38.82143	40.152	3052000	3782000	5471000	1853000	999000	7527020
1267	1	42.000004	41.000004	42.000004	43.000004	38.79302	40.085003	3052000	3782000	5471000	1853000	999000	7527908
1272	1	42.000004	41.000004	42.000004	42.000004	38.768566	40.009003	3052000	3782000	5471000	1853000	999000	7523808
1278	1	42.000004	41.000004	42.000004	43.000004	38.745087	39.938004	3052000	3782000	5471000	1853000	999000	7501532
